predicted,actual,diff,comment
0,0,0," Tady jsem musel projít všechen odpad, co jsem dříve dal. Je to nejstupidnější hloupost, co jsem viděl. Absolutně neuvěřitelné nápady, kterým se nedalo ani pousmát. Omlouvám se, pokud jsem nepochopil hlubší myšlenku, ale zajímalo by mě, kdo na tohle dal prachy. Ovšem, našel jsem jedno pozitivum. Je to blbost (slušně řečeno) a rozhodně se to nesnaží tvářit jako něco jiného."
0,3,3," Není žádný důkaz, že Tom Green hulí trávu, ale při sledování tohoto počinu je zřejmě jasné, že ji musel zhulit hodně a poté napsal scénář k tomuto filmu. Jistojistě ji musel hulit i při hraní a režii, jinak si to nedokážu představit :D"
0,4,4," Jeden z nejvtipnějších filmů, jaké sem kdy viděl. Rozhodně ale nesedne každému."
0,0,0," To ošahávání koňského penisu v úvodních minutách mi mělo napovědět. Tohle je totální hovadina, ukázkový příklad absolutně dementního filmu.  Seriozně nevím jak tohle mám ohodnotit. Ano chápu, že někdo v tom může vidět naprostou krásu bezbřehé anarchie, já v tom vidím naprostou kravinu, která je koncentrátem všeho špatného co v amerických komediích je možné vidět. Ano, je zde pár vtipných momentů, jejichž absurdita vyvolá lehké náznaky úsměvu na tváři. Ty ovšem dokážou totálně rozsekat ty druhé, absolutně tupé, absurdní, nechutné a bez sebevětšího smyslu, ze kterých je 99% filmu složeno. A už jen díky nim dávám odpad. Protože tahání za koňský penis, kousání pupeční šňůry a olizování otevřené zlomeniny mi nepřijde jako něco, co bych potřeboval vidět. Takže ne. Nesměji se."
5,5,0, Nejkrásnější porod v dějinách filmu...
0,2,2," Tak toto je jenom a pouze pro otrlé. Škoda, že více prostoru nedostal Eddie Kaye Thomas, který byl ve své roli výborný. Pokud nemusíte, raději se tomuto snímku vyhněte a pusťte si rovnou Jackass, který je kolikrát mnohem lepší."
0,2,2," Gordy (Tom Green) má třicítku na krku, ale stále žije u rodičů a doufá, že se jednoho dne bude živit jako animátor. Ale jeho první pokus o proražení v této oblasti končí fiaskem, a Gordy se se staženým ocasem vrací potupně k rodičům, což hlavně jeho otec (Rip Torn) nerad vidí. Ale Gordy je přesvědčen, že se zvládne osamostatnit a začít se živit normálně.... Když nad tím tak přemýšlím, tak tomuto filmu nelze dát jinak než odpad nebo 5 hvězd, záleží na tom jak moc jste puritáni -- protože Tom Green si dokáže dělat srandu ze všeho (většinou za hranicí dobrého vkusu a někdy až za hranicí zdravého rozumu). A tak se zde potkávají naprosto úžasné a vtipné scény s těmi při kterých je lépe zavřít oči (nějak netuším, co by mělo být vtipného na sexuálním užívání se zvěří (kůň, slon) či porodu v režii Toma Greena). Ale každá takováto scéna je většinou následována další, která je zase bezkonkurenční. Bohužel těch trapných je přece jen víc... A i když mám Toma Greena docela rád, tak lepší hodnocení nedám.."
0,0,0, Tak toto som ani nezvládol dopozerať. Green je nesympatický uchylák.
0,2,2," Mám rád úchylné komedie typu Klub sráčů,ale tohle mě totálně minulo.Hlavní hrdina Gordon je totiž tak nesympatický debil,že jsem si celou dobu sjíždění filmu představoval,jak ho mlátím bassebalkou přes hlavu.A to je sakra málo."
0,4,4," Viděl jsem to poprvé, když mi bylo 16, a s kamarádem jsme se před tím docela hodně zkouřili. Musím říct, že jsem se nikdy před tím ani nikdy potom u filmu tak doslova nevysmál z podoby...
Jinak je to ale fakt neuvěřitelná píčovina..."
0,4,4," ""Hodně jsem se naučil, a tím nemyslím jenom jak vyhonit slona"""
0,2,2," To by ma zaujímalo, či Green chápe, čo vlastne natočil. Či ten humor, ktorý nie je v pravom význame tohto slova vtipný, je zámerný, takže by sa jednalo o to, že sa smejeme na ňom preto, ako nie je vôbec vtipný, čím sa stáva vtipným. Možno je to veľký podvratný filozof, ktorého genialitu docenia až ďalšie generácie. Dúfam, že tá moja to už nedokáže."
0,0,0, Tom Green režisér? Tom Green hercem? Skutečně a opravdu nikdy. Každý jeho další debilní nápad tomu poslouží jen jako důkaz.
0,3,3," To je tak debilni film, az se tomu proste budete muset zasmat. Ne jedna scena, u ktery budete mit v obliceji vyraz WTF?"
0,4,4," Totální uchylárna, ale já se u toho neskutečně bavil :D"
0,5,5," Je to naprostá hovadina, některé scény mě vyloženě nebavily a přišly mi stupidní, jenže vše vynahrazuje jedna věc a to, když se dostane Gordon do křížku se svým tátou. Jde o to, že otec chce být na svého syna pyšný, a hlavně chce, aby měl dobrou práci, jenže Gordonovi se to zrovna moc nedaří, jeho velkým snem je namalovat a vymyslet postavy pro skvělej animák. Potom u scén, kdy se vážně zraní Gordonův kamarád a přilítne jeho táta a začně řvát: ""Sežeň mu práci! NE! Ty si sežeň práci! Jemu sežeň doktora!"" , dostávám výbuchy smíchu. Na pět hvězd to asi není, ale mě taky přijdou krajně nechutný filmy od psychicky narušenýho von Triera, který by si zasloužily minimálně tolik odpadů jako má takhle kravina, tak co..."
0,4,4," Dobře, hned na začátku musím podotknout, že než jsem sem napsal svůj komentář a chtěl dát filmu tři hvězdičky, jsem se začetl do ostatních komentářů a zjistil, že ten film vlastně i zafungoval tak jak měl, a že vlastně Green zřejmě docílil svého, a tak jsem se rozhodl své původně zamýšlené tři hvězdičky zvednout na 4. protože na rozdíl od mnohých komentářů, mě na tom směšných připadala spousta věcí, a když ne směšných, tak pozitivně ujetých. Ano, Green si opravdu dovolil moc. Díky za to. Teď tedy můj komentář: Freddyho úlet je opravdu úlet, spíše nechutný, imbecilní, stupidní a úpadkový, než nějak prvoplánově humorný, ale ve svém důsledku se tomu nakonec i zasmějete. Jen v podobně laděných filmech totiž chovancům ústavu pro sexuálně obtěžované děti v televizi pouští The Texas Chainsaw Massacre, jen v podobně laděných filmech dostanou prostor tělesně postižené holky, které k orgasmu přivedete tím, že je mlátíte tyčí přes nohy, jen podobně laděný film dokáže krásně nastavit zrcadlo skutečnosti, kde obvinění je pro mnohé lidi mnohem důležitější než pravda. Freddyho úlet má jen jednu chybu – je tak ujetý a bizarní, že je lehké ho neprávem odsoudit jako bezduchou a bezobsažnou sračku."
0,0,0," Někdo řekne úchylárna, jiný zase blbost. Podle mě je to ale o něčem úplně jiném. Ať jste totiž kdekoliv, vždy vám nejdřív v jakékoliv situaci primárně probleskne hlavou úchylná myšlenka. Vidíte koně, jak mu stojí... a jasně, že vás napadne, jaký by to bylo, mu ho... však víte. :-D :-D A Freddyho úlet je přesně o tom. O těch prvotních myšlenkách, ať jsou sebehnusnější. V tom je film opravdu skvělý... Takhle člověk přemýšlí a vy se zde podíváte na to, jak by to vypadalo, kdyby člověk místo první myšlenky udělal první skutek. Prostě místo toho, aby vás to napadlo, tak byste toho koně... však víte. :-D :-D  Na druhou stranu je film dost nechutný - ale jen tak, jak moc nechutná lidská mysl je. Zdejší hodnocení je dost rozporuplné a já upřímě netuším, kolik z vás pochopilo princip toho filmu. Osobně se zase jednou hodnocení zdržím. Protože musím uznat, že ačkoli film ukazuje vlastně pravdu, mně osobně je dost často z lidské mysli na blití...."
0,5,5," Pokud se nenecháte strhnout svojí falešnou morálkou a kvalitním vychováním, tak si tenhle jedinečný film opravdu užijete. Neskutečně zábavné, plné originálního humoru a nezapomenutelných hlášek.  Komedie, na kterou se můžete dívat klidně po dvacáté, stále je to stejně vtipné a na konci aplaudujete Tomu Greenovi jako už devatenáctkrát před tím."
0,0,0," Green sa bujaro vyprázdnil na kus celuloidu a okázalo to nazval filmom. Toto nie je úlet, je to zločin proti ľudskosti. Green je úbožiak, ktorý humoru rozumie asi tak, ako ja klasicistickej talianskej opere. Ak by Green žil počas druhej svetovej, súdili by ho v Norimbergu, aj keby bol na strane Spojencov. Green je jedna z tých pár vecí v dejinách Kanady, pri zmienke ktorej si každý slušný Kanaďan znechutene odpľuvne... P.S. Nesúhlasím s pálením tohto filmu. Treba nechať patričný počet kópií, aby sme mali dôkazový materiál o tomto zločine na divákoch. Tento film je Srebrenica ľudského ducha."
4,4,0," Fajn ujetá, Uchylná komedie.... Bavil jsem se :)"
0,2,2," Tom Green by mohl být i vtipný jenže film sežere poměrně málo vtipná trapnost. Není jistě prvním ani posledním komikem, který se pokusil tranost povýšit na vtipnost, ale to se musí umět. V tomhle filmu se to nedaří. Mohl bych to napsat tak, že zápletka vyšumí naprázdno a není nijak nápaditá i přes svoji originálnost. Greenova režie nebere ohled na nikoho a dost často film sklouzává až k fekálnímu humoru. Párkrát jsem se zasmál, to nepopírám, ale těžko bych si z filmu odnesl víc, než v něm je. Několik scén tedy opravdu dobrých (nasupená dívka na vozíku nebo vyhřezlá kost při sportování), pak několik hluchých míst, kdy se není čemu smát a pak hlavně trapnost, která tentokrát nebyla natolik sympaticky podána, abych film hodnotil lépe. S Tomem Greenem a jeho netradiční komedií jsem se zkrátka pobavil málo. 40%"
0,0,0," Spíš úlet režiséra a totální. Je až k nevíře, jak herec a režisér jeho kvalit a pověsti dokáže ještě sehnat peníze na takovéto úchylárny. A že pak na světě není dost úchylů."
0,2,2," To je tak debilní film až je vtipnej. Víc úchylnou a stupidní komedii jsem ještě neviděl, ale bavil jsem se."
0,5,5," Tak tohle je snad nejrozporuplnější film, který jsem kdy viděl - buď  je hodnocen maximem, nebo odpadem. Uznávám, že jsou některé skeče poněkud přehnané, zbytek je však šíleně zábavný! Dlouho jsem se takhle nenasmál!"
0,3,3," Největší úchylárna, kterou jsem měl doposud možnost vidět. Uvidíte např. stimulaci koňského a sloního penisu, či lízání otevřené zlomeniny. Tom Green je magor na entou. Pokud máte rádi humor silnějšího typu, tak si myslím, že se zasmějete... Tenhle kousek bych věnoval těm nejujetějším úchylům. [65%]"
0,0,0," Stačilo mi prvních 15 minut... nevím co je vtipného na tom, že někdo machruje s koňským přirozením.... absolutně bez nápadu... a Drew? Po jejím vulgárním výstupu jsem už neměla dál sil, se na takovou absurditu dívat.... Bože za co...."
0,0,0," Strašný film, ve kterém je Tom Green trapnější než kdy jindy a to znamená jediné ODPAD!"
0,4,4," JUHŮHŮHGHA.Fakt pořádná čistka jater. Dostat tak megáč v doláčech, taky bych si pronajal vrtulník a fotra odlifroval někam mezi dromedárdí varlata. Za hranicí apsurdní komedie s vulgární makeupem, ale Green to tu fakt všechno totálně pochčije, olíže a znovu pochčije. Doporučuji všem maxiznuděncům, kteří neví co si pustit, tak aby po všech pilách,prcičkách a .íčovinách se Sandlerem, měli pocit, že viděli něco co fakt vidět nechtěli"
5,4,1," Dokonalé na odreagování. Vypnout, hodit relax a zasmát se. A že sem se u Freddyho úletu nasmál dost. Greenovi grimasy jsou super. Komu nevadí ulítlej humor, tak doporučuju."
3,3,0," toto je riadna fekálnosť, človek každú chvíľu balansuje medzi ***** a odpadom, miestami je to nechutne vtipné, inokedy trápne, nakoniec u mna zvíťazila zlatá stredná cesta - 50%"
0,3,3," totalna magorina, ale na niektorych scenach som stratil dych od smiechu"
0,0,0," Tak tohle bylo vážně zlý. Zhovadilost, která neobstojí ani jako bláznivá komedie."
0,3,3," Kvalitná odporná zvrátená americká trápna úchylná blbosť, ktorá je až tak do neba volajúca, že divák miestami nevie či sa má smiať, alebo plakať. Každopádne mňa tento film ničím neoslnil ale dosť dobre som sa pobavil. Tom Green je povestný tým, že si vie veľa dovoliť, tu to plne ukázal. 3 hviezdičky dávam za nechutnosti, zvrátenosť a odvahu, ktorú som vo filme už dlho nevidel."
0,0,0, Nechapem ako mozu dovolit niekomu natocit takuto koko... a este mu daju na to peniaze. Tom Green musi byt medzi Zidmi Holywoodu milacik.
0,4,4, Naprostá nechuťárna! xD ale je to mega prdel! Tenhle film nemá žádnej smysl je to uplně o hovně. Souboj mezi fotrem a synkem je fakt nářez xDD Tomuhle filmu mužete dát bud 4 nebo 5 hvězdičky nebo 1 nebo odpad.... nic mezi tim neexistuj! xD Tenhle film je jenom pro silný povahy. Nechuťáren je tam fakt dost ale stojí to za to!
0,0,0," Toto může natočit jen naprosto zhovadilý či zfetovaný mamrd. Komu se to líbí, prosím. Ale mě vynechte!!! Nevěřil jsem vlastním očím!"
0,0,0, Zvrácené filmové zlo rozprostřené na osmdesáti sedmi minutách. Ještě po cca třech týdnech je mi z této obludnosti na blití a nejspíš kdykoliv uvidím na jakémkoliv filmovém plakátě úchylnej ksicht Toma Greena budu mít problém se svým dávicím reflexem. FGF = 100% odpad!
0,0,0," Můj nejhorší film ever, toxická sračka, ze které mi bylo fyzicky špatně. Je málo filmů, kterým se taková reakce podařila. Sice dle názvu vyprstili Freddyho, ale znásilněn jsem si připadal já."
5,0,5," Stále nedokáži pochopit, proč se to jmenuje Freddyho úlet??? PS: Green ví, jak prvorodičkám ještě víc zošklivit porod!"
0,1,1," Tak tohle snad ani nemůžou tvůrci myslet vážně, děs a hrůza, u toho se člověk snažil zasmát, ale jen to předstíral... Nevím za co ale dávám hvězdu... Typ komedie (humoru) který mi vůbec nesedl..."
0,0,0," Mlácení a ponižování ochrnuté dívky... proboha, mě se z toho chtělo zvracet... nemluvě o hlavním tématu filmu."
0,1,1," Tohle je opravdu megalejno a nebýt výborné skateboard akci v úvodu snímku, poslal bych film tam kam patří to jest do žumpy. Tom Green je úchylně trapný, stupidní bez špetky humoru a celkový dojem z filmu je tragický. Nejodpudivější mě přišla scéna kdy Green olizuje naštíplou holení kost jeho kamaráda a poté jeho akce jako doktora porodníka. Je smutné, že až do takovýhle stok klesl americký humor. Nemám rád American Pie, ale oproti tomuhle to je jako srovnávat sterilního gambrinuse s odporným Ambrosiusem."
0,4,4," Už dlouho mě něco tak nerozesmálo jako tento šílený film. Je to přehlídka nápadů a perfektních skečů, jaká nemá obdoby. Dokonce má film i celkem slušnou dějovou linii a hlavně perfektní herce, hlavně táta se povedl."
0,2,2, Je to farmar...
0,3,3," Ten Tom Green je pekné hovado čo už ukázal aj v Road Tripe, ale tu je totálne hovedo :)"
0,3,3," Úlet .... naprostý a totální .... nemáte co dělat? ... máte špatnou náladu? .... Něco se vám v životě nepovedlo? .... tohle je film pro Vás :-D .... ""I just wanna stay home and ....... suck your dick""  ..... ""Really?"" :-D :-D :-D :-D :-D"
0,2,2," No dobře, bylo to blbý. Málo opravdu vtipnejch scén a ani herci, ani prostředí, ani námět, prostě nic to nezachránilo. 1* za odvahu Toma Greena to natočit a 0,75* za to, že se mi to vlastně ze začátku chvíli líbilo. Takže celkově tak 35%"
0,3,3," prostě typický tom green. tenhle film je samozřejmě hloupý a nic na něm není obohacujícího, ale to je prostě tom green. nemužete jej brát vážně.. stejně jako mr.beana... ten film má svůj žánr. kdyby se tvářil vážně a jako ""pouhá"" regulerní komedie, byl by to odpad. ale tohle je tom green show ve filmové verzi... proto 5*"
5,3,2," Ve své záměrné debilitě, zvrácenosti a nevkusnosti jedna z nejzábavnějších teen komedií, ve které absentují opravdoví teenageři. Tom Green je magor a když mám tu správnou náladu, tak mu to všechno žeru. V úctě ke svému intelektuálnějšímu druhému já dávám kompromisní * * *."
0,0,0," Tom Green je vymaštěnej debil, co frčí na omamnejch látkách, protože honit koně a slona to je opravdu něco co sem vidět nepotřeboval."
0,0,0," Kúpite si DVD otvoríte ho a buďte si istý, že vám tam T. Green nasemenil, nachcal alebo nasral, lebo film tam nenájdete."
0,3,3," Těžko nějak začít komentář u filmu, ke kterému cítím různorodé pocity. Tenhle film totiž balancuje někde na hranici geniality a naprosté kraviny. A ta hranice je opravdu tenká. Hlavní hrdina se totiž chová neuvěřitelně šíleně, skoro jako by ani neměl žádný mozek, a právě to je ten kámen úrazu. Ono je to nějakou chvilku vtipné, avšak po čase už mě z toho spíše bolela hlava. Ale naštěstí film nestojí a nepadá s hlavním hrdinou, protože zábavných momentů a postaviček je zde mnohem víc. Předně tedy otec hlavního hrdiny, kterému hrozí, že se ze svého synka jednoho dne zblázní, potom je tu sousedovic kluk, kterému se během filmu přihodí několik nepříjemných zranění (obzvláště to poslední zranění před koncem filmu je hodně zajímavé), a pak je tu brat hlavního hrdiny, který je v 25 letech umístěn do ústavu pro sexuálně zneužívané děti. Každá tato postava má co nabídnout a každá tato postava dokáže hodně rozesmát, záchvatů smíchu jsem měl během filmu několik a musím říci, že jsem si film hodně užil. I když tedy ten konec mi přišel už hodně překombinovaný, ale na druhou stranu bych se rád někdy podíval na ten seriál ""Zebry v Americe"", který hlavní hrdina vymyslel, vypadalo to opravdu hodně dobře. Takže jak říkám, film je někde na hranici mezi genialitou a odpadem, v mém případě převládá spíše genialita, a tak uděluji tomuto filmu lehce nadprůměrné tři hvězdy. Ale každopádně to tedy byl nezapomenutelný zážitek."
5,5,0," Lepší komedii jsem nikdy neviděl!!! Ano - někdy dost zvrhlé, anarchnistické... Jednoznačně ale SUPER! Film na odreagování a stupidní vychechtání! Tom Green nezklamal!"
5,5,0, Tak takhle ujetou komedii jsem ještě neviděl! xD xD válel jsem se smíchy
0,2,2, Tom Green je prostě úchyl. Ale jen to samo o sobě film neutáhne.
0,3,3," Úchylná komedie plná trapných vtipů a dementních situací. Tak trapné, úchylné a dementní, až z toho bude smíchy brečet celá parta na vašem alkoholové večírku."
0,0,0," Tom Green síce ukázal že je výborný skateboardista ale zároveň že je príšerný herec a nechutný scenárista, označiť ho za komika by bolo dosť scestné pretože som sa nezasmial ani raz, skôr som celý čas krútil hlavou ako mohol takéto niečo napísať a natočiť, chytať koňa za penis a kričať ja budem farmár považujem skôr za zoofíliu ako za vtip,   tento film by sa mal čo najskôr odstrániť z povrchu zemského !!"
5,4,1," Debilní,nechutný....chvilkama krutější než South Park.....ale svým způsobem geniální."
0,0,0," WTF???!!! Žasnu nad tím, jaká kravina se dá taky natočit. Debilní a nechutné vtipy, debilní a stokrát ohraný příběh, debilní a směšný happy end. Jedním slovem ODPAD!"
0,2,2," Něco takovýho jsem asi ještě neviděl. Tom Green je strašně nesympatickej exot. Nemá to smysluplný scénář. Část fóŕů je postavená na tom, že že si Tom Green hraje s přirozením (v lepším případě s vlastním, v horším se zvířecím), na brutálním a doslovném násilí (kluk ze sousedství, co se mu vždycky něco ""přihodí"", otevřená zlomenina lýtkové kosti a její olyzování....) a idiotských výstupech. Občas sem se smál, ale dost často to bylo zbytečně doslovný nebo křečovitý. Fór s ""vyprstěným Freddym"" není špatný - zvlášť pasáže z ústavu. Pořád je to ale výrazně lepší zábava, než většina romantických komedií"
0,2,2," mám ráda, divný a zvrácený filmy typu: Klub sráčů, Austin Powers apod., ale tohle mezi ně rozhodně nepatří."
0,0,0," Absolutní hnus, scena porotu, vytékání jelenních vnitřností apod. to má být jako vtipné??? Já snesu hodně, ale tento dementní film opravdu ne, nešlo to dokoukat. Jeden z nejhorších filmu co jsem kdy viděl, ne-li nejhorší!"
0,0,0, To mělo být jako vtipný?!
0,2,2, 40% Nechápu český název. Nejvtipnější scéna pro mě: když si stěžoval zákazník na málo sýra v toastu.
4,5,1," HRA Film smrdi jako podpazdi neuspesneho komiksoveho autora co shani v slunnem Oregonu vydavatele. Pote se mu v hlave rozsviti zarovka a zacne strikat -huste- vtipky -huste- jako samec verlyby. Ne tak casto jako kdyz prijede zajezd Svedek, ale zato poradny!"
0,5,5, I když to možná není nejdokonalejší film co se týče příběhu tak herecký výkon hl. hrdiny a jeho otce dokonalý je. Možná je to někdy až trochu přehnané ale ať si říká kdo chce co chce já se u tohodle filmu bavim od začátku do konce.
0,3,3," Těžký úlet. Hlavní hrdina na začátku masturbuje koně, na konci slona. Chvílemi jsem zíral, co že se to děje, vzápětí jsem nebyl schopen překonávat záchvaty smíchu. Splatter film převlečený za komedii, citující Apokalypsu i Lovce jelenů, dokonce i Hru. Tom Green je nejspíš blázen:-)"
0,0,0," ║Rozpočet $15miliónov║Tržby USA $14,254,993║Tržby Celosvetovo $14,333,252║"
0,1,1," velká blbost, něco jako klub sráčů..."
0,4,4," Stále mě udivuje co všechno ještě doma mám za dvd. Tohle jsem si po víc jak dvou letech co to mám konečně pustitl a nevěřícně jsem kroutil hlavou co, že je to zač. Něco tak ujetýho jsem už dlouho neviděl, je to tak debilní a místy i nechutný, ale velice vtipný. Scény s koněm, či s navlekáním kůže jelena, či mrskáním a následným stříkáním semena ze slona je teda síla, či porod dítětě a následný překousání popuční šnůry je teda síla, ale pořád se nechá brát s nadhledem a humorem. Mlácení do nohou ochrnutý holky je teda ujetina na entou. a podobných scén je tam spousta, co k tomu dodat je to pitomý až je to pěkný. Já se dobře bavil. Jen jsem nechápal ten název co s tím má jako Freddy společnýho? Když tam o něj skoro vůbec nejde."
0,5,5, Šílené.
0,1,1," Tento film ve mě vzbuzuje naprostý odpor. Jestli budu mít někdy tu smůlu a budu se na to muset koukat znova, vemu si raději kinedril proti zvracení. První shlédnutí jsem absolvoval s otevřenou pusou a podivem nad tím jak tohle může někomu přijít k srandě. Sám mám rád černý humor. Upřímně se směju i u těch nejdrsnějších vtípků české sody, dokonce i u ZNK jsem se svím způsobem bavil, ale tohle je totálně odpudivý. Hlava mi nebere jak mohly ukecat Drew Barrymore aby si v tomhle braku zahrála. 1* za to že mě přesvědčil že filmům s Tomem Greenem se mám obrovským obloukem vyhnout."
1,5,4," Uletený masaker, ktorý zdatne zdoláva všetky dostupné PG ratingy tíndžerských komédii a vôbec najvtipnejšie guilty pleasure čo som za posledný rok, dva videl."
